Mturk_ID,cohort,training1_success,training1_time,training2_success,training_2_time,training3_success,training3_time,training4_success,training4_time,training_sum_success,game1_success,game1_time,game1_sum_identified,game1_success_rate,game1_success_distance,game1_ca_agreed,game2_success,game2_time,game2_sum_identified,game2_success_rate,game2_success_distance,game2_ca_agreed,game3_success,game3_time,game3_sum_identified,game3_success_rate,game3_success_distance,game3_ca_agreed,game4_success,game4_time,game4_sum_identified,game4_success_rate,game4_success_distance,game4_ca_agreed,game5_success,game5_time,game5_sum_identified,game5_success_rate,game5_success_distance,game5_ca_agreed,game6_success,game6_time,game6_sum_identified,game6_success_rate,game6_success_distance,game6_ca_agreed,game7_success,game7_time,game7_sum_identified,game7_success_rate,game7_success_distance,game7_ca_agreed,game8_success,game8_time,game8_sum_identified,game8_success_rate,game8_success_distance,game8_ca_agreed,game9_success,game9_time,game9_sum_identified,game9_success_rate,game9_success_distance,game9_ca_agreed,game10_success,game10_time,game10_sum_identified,game10_success_rate,game10_success_distance,game10_ca_agreed,game_sum_success_total,total_time,average_game_time,game_sum_ca_agreed_total,game_sum_agreed_ca_right,game_sum_agreed_ca_wrong,game_sum_disagreed_ca_right,game_sum_disagreed_ca_wrong_success,game_sum_disagreed_ca_wrong_failure,avg_task_load,avg_trust,avg_explanation
5825259,2,TRUE,36.11,TRUE,27.4,FALSE,31.72,TRUE,66.89,3,TRUE,64.32,9,8,0,FALSE,TRUE,77.31,9,8,0,FALSE,TRUE,56.88,9,8,0,FALSE,TRUE,149.96,9,8,0,FALSE,TRUE,60.15,9,8,0,FALSE,TRUE,52.14,9,8,0,FALSE,TRUE,45.77,9,8,0,TRUE,TRUE,78.12,9,8,0,TRUE,TRUE,95.37,9,8,0,TRUE,TRUE,49.52,9,8,0,TRUE,10,1131,72.954,4,4,0,0,6,0,11.8,3.4,0
1008177,4,TRUE,38.8,TRUE,45.38,TRUE,56.74,TRUE,74.56,4,FALSE,173.2,7,6,2,FALSE,FALSE,142.3,7,6,2,FALSE,TRUE,92.39,9,8,0,FALSE,FALSE,118.07,10,7,1,FALSE,FALSE,167.82,10,5,3,FALSE,FALSE,227.36,5,5,4,FALSE,TRUE,89.86,9,8,0,TRUE,FALSE,227.62,7,7,2,FALSE,TRUE,191.72,9,8,0,TRUE,FALSE,175.48,8,7,1,FALSE,3,2479,160.582,2,2,0,2,1,5,12.2,3,3.625
58155016,3,TRUE,40.17,FALSE,37.97,FALSE,53.4,TRUE,50.42,2,FALSE,38.68,5,5,4,FALSE,FALSE,58.83,8,5,3,FALSE,TRUE,54.51,9,8,0,FALSE,TRUE,52.08,9,8,0,FALSE,FALSE,36.41,5,2,8,FALSE,FALSE,71.43,8,7,1,FALSE,FALSE,81.1,8,7,1,FALSE,FALSE,56.26,7,4,6,FALSE,FALSE,32.4,5,2,6,FALSE,FALSE,75.8,7,6,2,FALSE,2,176036,55.75,0,0,0,4,2,4,11.8,2.8,2.75
49133834,4,TRUE,182,TRUE,99.45,TRUE,107.38,TRUE,82.33,4,FALSE,182.9,5,5,4,FALSE,FALSE,206.32,7,5,4,FALSE,FALSE,212.48,8,7,1,FALSE,TRUE,167.47,9,8,0,FALSE,FALSE,204.89,8,5,5,FALSE,FALSE,214.18,4,4,5,FALSE,FALSE,220.84,6,5,3,FALSE,FALSE,229.59,6,4,7,FALSE,FALSE,157.88,3,2,6,FALSE,FALSE,232.42,6,6,3,FALSE,1,3812,202.897,0,0,0,4,1,5,13.6,2.4,3.125
